507.815 337.154 13.7289	774864	507.815	8	16	29.0301	1701	881146	881492	60		304	16.6791	315
507.823 338.154 15.3228	774876	507.823	8	0	0	2172	898894	899258	72		339	18.6555	316
509.489 339.23 10.3941	777419	509.489	5	16	29.0301	830	919302	919332	44		23	12.374	317
507.815 339.154 15.1834	774864	507.815	8	16	29.0301	2754	916612	916978	71		350	18.5543	317
511.271 339.311 11.9882	780138	511.271	5	142	969.373	1370	922003	922065	17		254	12.9048	317
507.82 340.154 13.8695	774872	507.82	8	0	0	2089	934383	934708	60		325	16.8918	318
511.196 340.308 10.8573	780023	511.196	6	166	1692.52	1371	939602	939694	31		254	12.9048	318
507.82 341.154 14.6066	774872	507.82	8	0	0	1798	952110	952453	63		331	17.8502	319
514.139 339.442 10.1497	784514	514.139	8	120	580.777	1222	926294	926557	24		255	10.6076	317
515.711 339.514 10.7196	786913	515.711	8	131	750.528	388	928659	928937	46		225	12.2786	317
515.762 340.516 10.2112	786991	515.762	8	120	580.777	559	946460	946738	60		225	12.2786	318
536.205 339.451 10.9052	818184	536.205	9	167	1732.25	2032	942162	942648	5		316	10.9052	316
542.826 338.755 14.3492	828287	542.826	9	108	438.606	1559	934464	935010	4		315	14.3492	315
542.776 339.752 13.9811	828210	542.776	9	127	683.765	3147	949643	952666	5		315	14.3492	316
542.815 340.754 11.5928	828270	542.815	9	111	470.563	422	969943	970451	14		316	13.9811	317
553.189 339.23 10.75	844099	553.189	9	14	25.4077	992	950320	950829	13		221	12.7524	315
553.171 340.229 10.4028	844072	553.171	9	73	190.123	722	967950	968518	16		224	12.6802	316
557.826 329.443 14.064	851175	557.826	6	6	11.0383	1147	1560606	1560701	40		305	14.064	305
557.823 330.443 13.1222	851171	557.823	6	13	23.6065	1159	1578341	1578430	51		305	14.064	306
557.816 331.443 12.9651	851160	557.816	6	27	49.8998	980	1596061	1596152	53		305	14.064	307
557.817 332.443 12.4413	851161	557.817	6	17	30.8542	1054	1613811	1613898	59		305	14.064	308
579.62 329.447 16.9593	884430	579.62	9	13	23.6065	2207	1575895	1576561	69		307	20.3335	304
579.609 330.446 18.7449	884413	579.609	9	34	64.5729	2451	1593554	1594306	55		307	20.3335	305
579.618 331.447 18.1646	884427	579.618	9	13	23.6065	2615	1611348	1612040	59		307	20.3335	306
579.525 332.443 20.3335	884285	579.525	9	92	300.692	2713	1628894	1629660	40		307	20.3335	307
579.608 333.446 18.6995	884412	579.608	9	34	64.5729	2630	1646778	1647509	55		307	20.3335	308
579.623 334.447 12.5247	884434	579.623	9	3	5.57867	1460	884220	884717	41		298	15.2075	309
579.596 335.446 12.8154	884394	579.596	9	41	80.8605	1566	901919	902530	46		313	15.6218	310
579.551 336.444 13.6298	884325	579.551	9	83	242.476	1938	919544	920088	49		6	16.6324	311
579.484 337.441 14.4189	884222	579.484	9	110	459.665	2051	937132	937770	60		333	17.6085	312
579.59 338.446 15.6218	884384	579.59	9	49	102.051	2357	955006	955628	71		348	19.0729	313
579.487 339.441 14.3309	884227	579.487	9	110	459.665	2253	972614	973188	59		322	17.4813	314
579.547 340.444 14.0241	884318	579.547	9	83	242.476	2104	990472	991020	56		321	17.0686	315
579.591 341.446 14.9484	884386	579.591	9	49	102.051	2094	1008238	1008854	65		335	18.2516	316
601.22 329.445 10.5664	917389	601.22	6	22	40.1604	648	1591364	1591432	36		303	10.5664	303
595.282 330.171 11.3926	908328	595.282	8	0	0	705	1599991	1600198	67		251	13.4252	304
601.216 330.445 10.1287	917383	601.216	5	26	47.9094	645	1609102	1609154	45		303	10.5664	304
595.281 331.171 10.1392	908326	595.281	8	0	0	370	1617740	1617892	81		73	12.3595	305
601.212 333.445 10.2491	917376	601.212	6	33	62.3884	691	1662301	1662371	45		303	10.5664	307
594.708 333.144 10.453	907453	594.708	5	171	1900.73	581	1652378	1652460	72		281	12.6893	307
595.281 334.171 10.9845	908326	595.281	8	2	3.73517	456	1670944	1671125	73		251	13.4252	308
601.193 334.444 10.029	917347	601.193	5	53	113.899	833	1680015	1680061	47		303	10.5664	308
594.742 334.146 10.1309	907505	594.742	5	169	1814.54	343	1670170	1670219	74		73	12.3595	308
